saved_at,submitted_at,submitted_at_local,page_url,q1,q2,q3,q4,q5,q6,comment,size,shape,flavor,style,mood,border,lettering_type,topping,color,cream,character,plate,price,recommended_cake_crop_id,recommended_shop_name,generated_customize_image_url,character_reference_image_url,user_agent
2026-05-30T02:38:09,2026-05-30T02:38:07.314Z,2026. 5. 30. 오전 11:38:07,http://127.0.0.1:5173/,5,4,5,4,5,4,감사합니다. 테스트입니다. 사실 안감사해요,미니,사각형,초코오레오,심플,캐릭터,점선테두리,중앙레터링,스프링클,#ffd4e3,하트,있음,있음,55000,21,unknown,/static/generated/_onyourday_1669025488_2976323974627484444_12861674625_cake_1_custom_20260530_023648.webp,/static/reference/character_ref_20260530_023640_f3b3b7b0.webp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.20950 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
2026-05-30T02:52:09,2026-05-30T02:52:06.433Z,2026. 5. 30. 오전 11:52:06,http://127.0.0.1:5173/,5,4,5,4,5,4,감사합니다. 테스트입니다,미니,사각형,초코바나나,러블리,캐릭터,없음,깃발레터링,없음,#ffd4e3,하트,있음,있음,50000,599,unknown,/static/generated/_onyourday_1740130652_3572797321217576618_12861674625_cake_1_custom_20260530_025058.webp,/static/reference/character_ref_20260530_025054_23464e83.webp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.20950 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
2026-05-30T09:54:28,2026-05-30T09:54:27.319Z,2026. 5. 30. 오후 6:54:27,http://127.0.0.1:5173/,3,3,3,3,3,3,오케이.,미니,사각형,초코바나나,러블리,레터링중심,점선테두리,중앙레터링,없음,#ffd4e3,없음,있음,있음,51000,1027,온유어데이,/static/generated/_onyourday_1684922690_3109679372171643767_12861674625_cake_3_custom_20260530_095314.webp,/static/reference/character_ref_20260530_095304_6bdfbcd3.webp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.20950 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
2026-05-30T09:55:55,2026-05-30T09:55:53.781Z,2026. 5. 30. 오후 6:55:53,http://127.0.0.1:5173/,3,3,3,3,3,3,외않되,도시락,원형,초코오레오,러블리,캐릭터,없음,없음,없음,#ffd4e3,없음,없음,없음,20000,38,온유어데이,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.20950 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
2026-05-30T09:56:38,2026-05-30T09:56:37.211Z,2026. 5. 30. 오후 6:56:37,http://127.0.0.1:5173/,3,3,3,3,3,3,외않되!!!,도시락,원형,초코오레오,러블리,캐릭터,없음,없음,없음,#ffd4e3,없음,없음,없음,20000,38,온유어데이,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.20950 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
